tax_year,week_number,pay_date,job_number,units,rate,amount,client,location,job_type,agency,weekend_date,description
2024,1,,3702714,1.0,20.0,20.0,Diebold Nixdorf UK Limited,COOP FOOD (CTS) SK8 5DW,REPAIR WITH PARTS - 8HR,,,Daniel Hanson: 3702714 | Diebold Nixdorf UK Limited | COOP FOOD (CTS) SK8 5DW | REPAIR WITH PARTS - 8HR | 16/03/24 09:00 17/03/24 10:30
2024,1,,3702788,1.0,20.0,20.0,Diebold Nixdorf UK Limited,COOP FOOD (CTS) WA4 2QU,REPAIR WITH PARTS - ND 1200,,,Daniel Hanson: 3702788 | Diebold Nixdorf UK Limited | COOP FOOD (CTS) WA4 2QU | REPAIR WITH PARTS - ND 1200 | 17/03/24 08:00 17/03/24 12:00
2024,1,,3702699,1.0,20.0,20.0,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL L13 4DL,MANPOWER - ND 1700,,,Daniel Hanson: 3702699 | Diebold Nixdorf UK Limited | KINGFISHER INFORMATION TECHNOL L13 4DL | MANPOWER - ND 1700 | 17/03/24 08:00 17/03/24 17:00
2024,1,,3702689,1.0,20.0,20.0,DieboldNixdorf_WIPRO,JOHN LEWIS L1 8BJ,TECH EXCHANGE P2PE - ND 1700,Rico,23/03/2024,Daniel Hanson: 3702689 | DieboldNixdorf_WIPRO | JOHN LEWIS L1 8BJ | TECH EXCHANGE P2PE - ND 1700 | 16/03/24 08:36 17/03/24 17:00
2024,1,,3702799,1.0,20.0,20.0,Verifone UK LTD,STONEGATE - HOPE & ANCHOR - 91 L1 9DE,TECH EXCHANGE - ND 1800,,,Daniel Hanson: 3702799 | Verifone UK LTD | STONEGATE - HOPE & ANCHOR - 91 L1 9DE | TECH EXCHANGE - ND 1800 | 16/03/24 15:32 17/03/24 18:00
2024,1,,3702801,1.0,20.0,20.0,Verifone UK LTD,STONEGATE - HOPE & ANCHOR - 91 L1 9DE,TECH EXCHANGE - ND 1800,,,Daniel Hanson: 3702801 | Verifone UK LTD | STONEGATE - HOPE & ANCHOR - 91 L1 9DE | TECH EXCHANGE - ND 1800 | 16/03/24 15:32 17/03/24 18:00
2024,1,,3702727,1.0,20.0,20.0,DieboldNixdorf_WIPRO,WIPRO LIMITED PR5 4AW,TECH EXCHANGE - Priority MC,Rico,23/03/2024,Daniel Hanson: 3702727 | DieboldNixdorf_WIPRO | WIPRO LIMITED PR5 4AW | TECH EXCHANGE - Priority MC | 17/03/24 11:00 17/03/24 15:00
2024,1,,3702726,1.0,20.0,20.0,DieboldNixdorf_WIPRO,WIPRO LIMITED PR5 4AW,TECH EXCHANGE - Priority MC,Rico,23/03/2024,Daniel Hanson: 3702726 | DieboldNixdorf_WIPRO | WIPRO LIMITED PR5 4AW | TECH EXCHANGE - Priority MC | 17/03/24 11:00 17/03/24 15:00
2024,1,,3702720,1.0,20.0,20.0,Fujitsu Services Limited - KFC,KFC Accrington DT BB5 4EQ,TECH EXCHANGE - ND 1800,,,Daniel Hanson: 3702720 | Fujitsu Services Limited - KFC | KFC Accrington DT BB5 4EQ | TECH EXCHANGE - ND 1800 | 16/03/24 10:30 17/03/24 17:11
2024,1,,3702776,1.0,20.0,20.0,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL BB9 6RT,TECH EXCHANGE - ND 1700,,,Daniel Hanson: 3702776 | Diebold Nixdorf UK Limited | KINGFISHER INFORMATION TECHNOL BB9 6RT | TECH EXCHANGE - ND 1700 | 17/03/24 08:00 17/03/24 17:
2024,1,,3702775,1.0,31.44,31.44,Diebold Nixdorf UK Limited,KINGFISHER INFORMATION TECHNOL BB9 6RT,TECH EXCHANGE - ND 1700,,,Daniel Hanson: 3702775 | Diebold Nixdorf UK Limited | KINGFISHER INFORMATION TECHNOL BB9 6RT | TECH EXCHANGE - ND 1700 | 17/03/24 08:00 17/03/24 17:
2024,1,,3710635,1.0,20.0,20.0,CXM,K L BUTCHERS OL10 1HZ,INSTALL - ND 1700,Rico,23/03/2024,Daniel Hanson: 3710635 | CXM | K L BUTCHERS OL10 1HZ | INSTALL - ND 1700 | 22/03/24 13:20 23/03/24 17:00
2024,1,,3710852,1.0,20.0,20.0,Verifone UK LTD,STONEGATE - SLUG AND LETTUCE A M2 5HD,TECH EXCHANGE - ND 1800,Rico,23/03/2024,Daniel Hanson: 3710852 | Verifone UK LTD | STONEGATE - SLUG AND LETTUCE A M2 5HD | TECH EXCHANGE - ND 1800 | 22/03/24 16:07 23/03/24 18:00
2024,1,,3710855,1.0,20.0,20.0,Verifone UK LTD,STONEGATE - SLUG AND LETTUCE A M2 5HD,TECH EXCHANGE - ND 1800,Rico,23/03/2024,Daniel Hanson: 3710855 | Verifone UK LTD | STONEGATE - SLUG AND LETTUCE A M2 5HD | TECH EXCHANGE - ND 1800 | 22/03/24 16:07 23/03/24 18:00
